;id;leaf;isInfectedPercentage;isInfectedFlag
0;#0;13ad5e33-e1c4-4a64-9e1d-240aecbfcc88.JPG;0.99861383;1
1;#1;80b85ef5-f1ae-4175-aad1-e21c7ffc0f95.JPG;9.920923e-10;0
2;#2;790d5ccf-c3b6-46a0-9e98-01e7fcc7fd56.JPG;0.99561524;1
3;#3;97f51836-ea1e-4a37-b746-aaa509bede5a.JPG;0.36399755;0
4;#4;790cd5b4-9d25-462f-b078-267adbc56781.JPG;0.0001800069;0
5;#5;661501ea-ac63-4a8f-b0cd-8fa1fcabc557.JPG;5.207592e-07;0
6;#6;f57f38b4-faef-4326-957b-d0845e8f5063.JPG;0.00028891148;0
7;#7;125c1caa-fc24-4517-8169-eaf8f6bf1c7e.JPG;0.00024693512;0
8;#8;11effee7-3621-4bda-88aa-e073231163fa.JPG;9.846927e-06;0
9;#9;b210ab60-9309-4dcb-b928-14e67ab456d4.JPG;0.999747;1
10;#10;b67a51e8-3602-4888-94ac-ba68eefde4ef.JPG;1.1444231e-06;0
11;#11;652952f2-e357-4b59-9c13-d5f3c4c14c09.JPG;0.16316497;0
12;#12;fcb40c3d-c6bb-4044-bfca-65c15681ca22.JPG;0.075673394;0
13;#13;7d22fd15-3ce7-4c77-8f2f-a6289ac1990c.JPG;0.9994518;1
14;#14;b4584ffa-132e-4629-ab0d-f28a6a4a04b9.JPG;4.9606056e-06;0
15;#15;280d5a17-3876-4af5-b484-1e349d8cc841.JPG;7.905817e-06;0
16;#16;820c62e1-01aa-4107-b707-d8324b6fb44b.JPG;3.3089705e-07;0
17;#17;7db81c38-29dc-4bfc-a556-2f611d76c787.JPG;4.117216e-07;0
18;#18;e436ac6e-4a50-44d6-b711-bd44c2e083bb.JPG;3.4226883e-05;0
19;#19;b95f10c7-67e5-4ffe-8034-e5ead11235a0.JPG;4.8950155e-10;0
20;#20;8b210e6f-3994-4f3d-bf81-969392fbe903.JPG;1.7737408e-09;0
21;#21;13cda0b3-58dc-432a-b43d-6cac076ba6de.JPG;2.4514675e-06;0
22;#22;53ec9aba-42df-4b7e-a834-20a927895286.JPG;0.9993925;1
23;#23;d12b6a20-9560-47e1-845b-a0ce4142a1da.JPG;0.9999876;1
24;#24;570d1d18-a49d-40aa-8a22-b483254ac308.JPG;0.015155746;0
25;#25;214fd1a1-6dfe-4349-83de-7f7d4cd6af18.JPG;4.4857434e-06;0
26;#26;7b862658-951b-4c4f-87a7-cf31210d727b.JPG;0.9466271;1
27;#27;fc4b1fba-62ee-4589-9cb6-915c62abb1a5.JPG;5.3958956e-06;0
28;#28;83e73c77-b21b-4fda-b9d8-67737628ce7f.JPG;0.9946391;1
29;#29;494fc193-ed22-4e35-8825-b0de1fadaf2c.JPG;8.212982e-07;0
30;#30;ee81c86c-ee01-4a36-be58-f5a8851e51f1.JPG;1.5347314e-07;0
31;#31;769951a0-c42b-405c-b89f-c4229b9c94a7.JPG;1.6618658e-10;0
32;#32;56ae46d5-a098-453b-b822-21804e6dc2bc.JPG;0.96989024;1
33;#33;81961edf-8173-44cd-91f7-8527233c07c2.JPG;0.99982363;1
